Tue, 01 Jun 10 23:45:21 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'))
Tue, 01 Jun 10 23:50:59 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'))
Thu, 03 Jun 10 20:29:37 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:11:45 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:12:05 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'  and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:12:23 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'  and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:13:10 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:13:28 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:13:49 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:14:08 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:15:12 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:16:34 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Thu, 03 Jun 10 21:17:00 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where   and dorYesharim = 'חח9879ןח0'
Mon, 07 Jun 10 22:37:25 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:40:14 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:52:41 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:53:30 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:53:49 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:55:22 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:56:44 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:57:14 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Mon, 07 Jun 10 22:58:00 +0300 select * from  person left join extrnalview on person.id = extrnalview.p_id where age > 15 and age < 36  and gender = 'male' 
Thu, 29 Jul 10 19:19:04 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where gender = 'male'  and flow = 'charadlnic'
Thu, 29 Jul 10 19:19:28 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where gender = 'male' and( bird = 'short')
Thu, 29 Jul 10 19:31:51 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where gender = 'male' 
Tue, 17 Aug 10 22:24:10 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where( flow = 'hasid' and flow = 'litai')
Tue, 17 Aug 10 22:24:20 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where gender = 'male' 
Wed, 27 Oct 10 11:00:33 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where gender = 'male' 
Wed, 27 Oct 10 11:00:56 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 10 and age < 30 
Wed, 03 Nov 10 08:41:25 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 0  and gender = 'male' 
Wed, 03 Nov 10 09:25:15 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 18 and age < 20  and gender = 'male' 
Wed, 03 Nov 10 09:25:19 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where gender = 'male' 
Wed, 03 Nov 10 09:25:34 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where age > 20 and age < 40 
Sun, 07 Nov 10 09:05:57 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 andage > 1980 and age < 1976 
Sun, 07 Nov 10 09:06:59 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1980 and  age < 1976 
Sun, 07 Nov 10 09:07:10 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1982 and  age < 1974 
Sun, 07 Nov 10 09:07:33 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1982 and  age < 1974 
Sun, 07 Nov 10 09:07:57 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1982 and  age < 1978 
Sun, 07 Nov 10 09:08:33 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1982 and  age < 1978 
Sun, 07 Nov 10 09:09:19 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1978 and  age < 1982 
Sun, 07 Nov 10 09:09:31 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1985 and  age < 1976 
Sun, 07 Nov 10 09:09:45 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1970 and  age < 1990 
Sun, 07 Nov 10 09:09:56 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1975 and  age < 1985 
Sun, 07 Nov 10 09:10:08 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1977 and  age < 1980 
Sun, 07 Nov 10 09:10:17 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1978 and  age < 1979 
Sun, 07 Nov 10 09:10:27 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age > 1977 and  age < 1978 
Sun, 07 Nov 10 09:11:03 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age <= 1980 and  age >= 1978 
Sun, 07 Nov 10 09:11:13 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age <= 1978 and  age >= 1978 
Sun, 07 Nov 10 09:11:23 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age <= 1980 and  age >= 2010 
Sun, 07 Nov 10 09:12:35 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age <= 1980 and  age >= 2010 
Sun, 07 Nov 10 09:13:44 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and age <= 1980 
Sun, 07 Nov 10 10:40:27 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 =1 and  and motherLastName = 'רחמים'
Sun, 07 Nov 10 10:44:27 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1   and motherLastName = 'רחמים'
Sun, 07 Nov 10 10:45:14 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and( flow = 'hasid' or flow = 'litai')
Sun, 07 Nov 10 10:45:39 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and( flow = 'hasid' and flow = 'litai')
Sun, 07 Nov 10 10:55:14 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  age <= 1998 and  age >= 1975  and gender = 'male'  and firstName = 'אהד'
Fri, 12 Nov 10 22:30:43 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  age <= 1990 and  age >= 1970  and gender = 'male' 
Fri, 12 Nov 10 22:31:30 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   and bird = 'short'
Fri, 12 Nov 10 22:32:44 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   and bird = 'short'
Fri, 12 Nov 10 22:33:02 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   and bird = 'short'
Fri, 12 Nov 10 22:33:14 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   and firstName = 'אהד'
Fri, 12 Nov 10 22:33:29 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  and( firstName = 'אהד' and lastName = 'סדן')
Fri, 12 Nov 10 22:33:41 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   and firstName = 'אוהד'
Fri, 12 Nov 10 22:33:48 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  
Fri, 12 Nov 10 22:34:21 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   and bird = 'short'
Fri, 12 Nov 10 22:36:25 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   and bird = 'short'
Fri, 12 Nov 10 22:37:08 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   and bird = 'short'
Fri, 12 Nov 10 22:37:38 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   and bird = 'short'
Fri, 12 Nov 10 22:38:54 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   and bird = 'short'
Fri, 12 Nov 10 22:40:34 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and   or bird = 'short'
Fri, 12 Nov 10 22:41:12 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  bird = 'short'
Fri, 12 Nov 10 22:41:29 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  bird = 'short' and bird = 'long'
Fri, 12 Nov 10 22:44:52 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  and( = 'hasid' and bird = 'short')
Fri, 12 Nov 10 22:46:26 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  firstName = 'אהד'flow = 'hasid'
Fri, 12 Nov 10 22:46:54 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  firstName = 'אהד'flow = 'hasid'
Fri, 12 Nov 10 22:47:24 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  and( = 'hasid' and flow = 'litai')
Fri, 12 Nov 10 22:48:03 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  and( = 'hasid' and flow = 'litai')
Fri, 12 Nov 10 23:03:40 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  and (flow = 'hasid' and flow = 'litai')
Fri, 12 Nov 10 23:05:10 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and (flow = 'hasid' and flow = 'litai')
Fri, 12 Nov 10 23:05:29 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and (flow = 'hasid' or flow = 'litai')
Fri, 12 Nov 10 23:06:06 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and (flow = 'hasid' and bird = 'short' or bird = 'long' or bird = 'neat')
Fri, 12 Nov 10 23:06:44 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and (flow = 'hasid' and bird = 'long')
Fri, 12 Nov 10 23:06:56 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  age <= 1990 and  age >= 1980 and (flow = 'hasid')
Fri, 12 Nov 10 23:07:10 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and ( and flow = 'litai')
Fri, 12 Nov 10 23:08:13 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and ( and flow = 'litai')
Fri, 12 Nov 10 23:09:18 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and ( and flow = 'litai')
Fri, 12 Nov 10 23:09:52 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and ( and flow = 'litai')
Fri, 12 Nov 10 23:10:58 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and (flow = 'litai')
Fri, 12 Nov 10 23:14:45 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and (firstName = 'אהד')and (flow = 'hasid')
Fri, 12 Nov 10 23:15:06 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and (fatherJob = 'כולל')and (flow = 'hasid')
Fri, 12 Nov 10 23:15:52 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  age <= 1990 and  age >= 1970  and gender = 'male' and (origin = 'ספ')and (flow = 'litai' or flow = 'hasid')
Fri, 12 Nov 10 23:17:06 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and (origin = 'יד עזרה')and (bird = 'short')
Tue, 18 Jan 11 22:44:01 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  age <= 1988 and  age >= 1971  and gender = 'male' 
Tue, 18 Jan 11 23:04:05 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1   and gender = 'male' 
Tue, 18 Jan 11 23:10:20 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and (firstName like '%אהד%')and (bird = 'long' or bird = 'short' or hat = 'hasidy')
Tue, 18 Jan 11 23:10:57 +0200 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1   and gender = 'male' 
Tue, 26 Apr 11 04:45:55 +0300 Update defanitions(name) set name ='חסידי אמיתי' where id =  1
Tue, 26 Apr 11 04:46:54 +0300 Update defanitions set name ='חסידי אמיתי' where id =  1
Tue, 26 Apr 11 04:47:37 +0300 Update defanitions set name ='חסידי אמיתי באמת' where id =  1
Tue, 26 Apr 11 04:53:37 +0300 Update defanitions set name ='ליטאי אמיתי באמת' where id =  4
Tue, 26 Apr 11 04:54:04 +0300 Update defanitions set name ='ליטאי אמיתי ' where id =  4
Tue, 26 Apr 11 04:57:46 +0300 Update defanitions set name ='ארוכות מאוד' where id =  3
Tue, 26 Apr 11 05:00:01 +0300 Update defanitions set name ='מסולסל' where id =  2
Tue, 26 Apr 11 05:00:33 +0300 Update defanitions set name ='ארוך' where id =  2
Wed, 27 Apr 11 23:52:09 +0300 Update defanitions set name ='חסידי' where id =  1
Wed, 27 Apr 11 23:52:33 +0300 Update defanitions set name ='ליטאי' where id =  4
Thu, 28 Apr 11 00:19:04 +0300 Update defanitions set name ='ארוכות' where id =  3
Sun, 01 May 11 20:51:49 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1   and gender = 'female' 
Sun, 01 May 11 20:54:06 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1   and gender = 'female' 
Sun, 01 May 11 20:57:19 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1   and gender = 'female' 
Sun, 01 May 11 20:57:30 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1   and gender = 'male' 
Sun, 01 May 11 20:58:04 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and (firstName like '%א%')
Fri, 13 May 11 02:04:00 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1   and gender = 'male' 
Mon, 09 Jul 12 19:49:42 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  age <= 2002 and  age >= 1962  and gender = 'male' 
Mon, 09 Jul 12 19:50:43 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  age <= 2002 and  age >= 1962  and gender = 'female' 
Mon, 09 Jul 12 21:36:33 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  
Sat, 14 Jul 12 00:57:08 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  
Wed, 20 Jul 11 23:05:34 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  
Wed, 20 Jul 11 23:07:42 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  
Sun, 31 Jul 11 23:32:54 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  age <= 1993 and  age >= 1981  and gender = 'male' 
Sat, 06 Aug 11 23:46:02 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  age <= 1996 and  age >= 1931 
Sun, 07 Aug 11 01:12:16 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  and  age <= 2001 and  age >= 1961 
Sat, 13 Aug 11 23:37:40 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  
Sun, 14 Aug 11 00:04:26 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  
Sat, 20 Aug 11 23:52:24 +0300 select *,person.id as qid from  person left join extrnalview on person.id = extrnalview.p_id where 1 = 1  
Mon, 22 Aug 11 23:38:47 +0300 mysql error: [1146: Table 'shiduchim.offer' doesn't exist] in EXECUTE("INSERT INTO offer (status,boy_id,girl_id,update_date,insert_date) VALUES (offers,17,16,1314045527,1314045527)")
#0 C:\xampp\htdocs\shiduchim1.0\public_html\libs\adodb5\adodb.inc.php(1038): adodb_throw('mysql', 'EXECUTE', 1146, 'Table 'shiduchi...', 'INSERT INTO off...', false, Object(ADODB_mysql))
#1 C:\xampp\htdocs\shiduchim1.0\public_html\libs\adodb5\adodb.inc.php(1013): ADOConnection->_Execute('INSERT INTO off...', false)
#2 C:\xampp\htdocs\shiduchim1.0\public_html\libs\adodb5\adodb-lib.inc.php(212): ADOConnection->Execute('INSERT INTO off...')
#3 C:\xampp\htdocs\shiduchim1.0\public_html\libs\adodb5\adodb.inc.php(1659): _adodb_replace(Object(ADODB_mysql), 'offer', Array, true, false, false)
#4 C:\xampp\htdocs\shiduchim1.0\public_html\classes\Mettings.php(19): ADOConnection->Replace('offer', Array, true)
#5 C:\xampp\htdocs\shiduchim1.0\public_html\ajax.php(38): Mettings->add_new_offer('17', '16')
#6 {main}
Mon, 22 Aug 11 23:39:47 +0300 mysql error: [1146: Table 'shiduchim.offer' doesn't exist] in EXECUTE("INSERT INTO offer (status,boy_id,girl_id,update_date,insert_date) VALUES (offers,17,16,1314045587,1314045587)")
#0 C:\xampp\htdocs\shiduchim1.0\public_html\libs\adodb5\adodb.inc.php(1038): adodb_throw('mysql', 'EXECUTE', 1146, 'Table 'shiduchi...', 'INSERT INTO off...', false, Object(ADODB_mysql))
#1 C:\xampp\htdocs\shiduchim1.0\public_html\libs\adodb5\adodb.inc.php(1013): ADOConnection->_Execute('INSERT INTO off...', false)
#2 C:\xampp\htdocs\shiduchim1.0\public_html\libs\adodb5\adodb-lib.inc.php(212): ADOConnection->Execute('INSERT INTO off...')
